kg,prompt,example,model,input_idx,input,output,structure_score,note
LPG,Kor,1,KoGPT,0,"온라인동영상서비스(OTT) 플랫폼 넷플릭스가 구독자 간 ‘무료 계정 공유’를 금지한 뒤 신규 구독자가 큰 폭으로 늘어났다. 19일(현지시간) 넷플릭스가 발표한 실적 보고서를 보면, 넷플릭스 가입자는 올해 2분기 전세계에서 589만명 증가해 총 2억3839만명이 됐다. 전체 가입자 수가 지난해 같은 기간보다 8.0% 늘었다. 2분기 매출액은 81억8700만달러(약 10조3700억원), 영업이익은 18억2700만달러(약 2조3100억원)로 지난해 동기 대비 각각 2.7%, 15.8% 늘었다.","(a:사람 {name: '넷플릭스'})
(b:장소 {name: '전세계'})
(c:사람 {성별: '남자'})
(d:기관 {name: '한국'})
(e:상 {name: '넷플릭스'})
",1,
LPG,Kor,1,ChatOpenAI,0,"온라인동영상서비스(OTT) 플랫폼 넷플릭스가 구독자 간 ‘무료 계정 공유’를 금지한 뒤 신규 구독자가 큰 폭으로 늘어났다. 19일(현지시간) 넷플릭스가 발표한 실적 보고서를 보면, 넷플릭스 가입자는 올해 2분기 전세계에서 589만명 증가해 총 2억3839만명이 됐다. 전체 가입자 수가 지난해 같은 기간보다 8.0% 늘었다. 2분기 매출액은 81억8700만달러(약 10조3700억원), 영업이익은 18억2700만달러(약 2조3100억원)로 지난해 동기 대비 각각 2.7%, 15.8% 늘었다.","(a:기관 {name: '넷플릭스'})
(a)-[:금지한]->(:무료 계정 공유)
(a)-[:늘어났다]->(:구독자 {수: '589만명'})
(a)-[:늘었다]->(:가입자 {수: '2억3839만명'})
(a)-[:늘었다]->(:가입자 수 {증가율: '8.0%'})
(a)-[:매출액은]->(:돈 {액수: '81억8700만달러'})
(a)-[:영업이익은]->(:돈 {액수: '18억2700만달러'})
(a)-[:늘었다]->(:매출액 {증가율: '2.7%'})
(a)-[:늘었다]->(:영업이익 {증가율: '15.8%'})
",0,(a)-[:금지한]->(:무료 계정 공유)
LPG,Kor,1,OpenAI,0,"온라인동영상서비스(OTT) 플랫폼 넷플릭스가 구독자 간 ‘무료 계정 공유’를 금지한 뒤 신규 구독자가 큰 폭으로 늘어났다. 19일(현지시간) 넷플릭스가 발표한 실적 보고서를 보면, 넷플릭스 가입자는 올해 2분기 전세계에서 589만명 증가해 총 2억3839만명이 됐다. 전체 가입자 수가 지난해 같은 기간보다 8.0% 늘었다. 2분기 매출액은 81억8700만달러(약 10조3700억원), 영업이익은 18억2700만달러(약 2조3100억원)로 지난해 동기 대비 각각 2.7%, 15.8% 늘었다.","(a:기관 {name: '넷플릭스'})
(b:플랫폼 {name: 'OTT'})
(a)-[:소속 {to: (b)}]->(b)
(a)-[:금지했다 {공유: '무료 계정 공유'}]->(:구독자)
(a)-[:증가했다 {수: '589만명'}]->(:구독자)
(a)-[:늘었다 {비율: '8.0%'}]->(:구독자)
(a)-[:늘었다 {매출액: '81
",0,(a)-[:늘었다 {매출액: '81
LPG,Kor,1,KULLM,0,"온라인동영상서비스(OTT) 플랫폼 넷플릭스가 구독자 간 ‘무료 계정 공유’를 금지한 뒤 신규 구독자가 큰 폭으로 늘어났다. 19일(현지시간) 넷플릭스가 발표한 실적 보고서를 보면, 넷플릭스 가입자는 올해 2분기 전세계에서 589만명 증가해 총 2억3839만명이 됐다. 전체 가입자 수가 지난해 같은 기간보다 8.0% 늘었다. 2분기 매출액은 81억8700만달러(약 10조3700억원), 영업이익은 18억2700만달러(약 2조3100억원)로 지난해 동기 대비 각각 2.7%, 15.8% 늘었다.","(a:사람 {name: 'Netflix'})
(a)-[:금지했다]->(b)
",0,(a)-[:금지했다]->(b)
LPG,None,0,KoGPT,0,학생 A와 학생 B가 만났다.,"학생 A가 학생 B에게 3만원을 주었다.
학생 B가 학생 A에게 1만원을 주었다.
학생 A와 학생 B가 만났다.
학생 A가 학생 B에게 3만원을 주
",0,학생 A가 학생 B에게 3만원을 주었다.
LPG,None,0,KoGPT,1,미끄러운 빗길은 교통사고로 이어졌다.,"�
",0,�
LPG,None,0,KoGPT,2,번개장터는 우정사업본부와 중고 거래 플랫폼 최초 '우체국소포'를 정식 출시한다고 밝혔다.,"̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧
Source: 번개장터 번개장터 중고거래
",0,̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧ ̧
LPG,None,0,KoGPT,3,"올해 장마는 평년보다 많은 비를 기록할 가능성이 높다는 게 전문가들 관측이다. 기상청은 장마철이 시작된 6월25일부터 현재까지 약 2주간 전국 대부분 지역에 200~300㎜, 전남 일부 지역은 600㎜ 안팎의 많은 누적 강수량을 기록했다고 밝혔다.","올해 장마는 평년보다 많은 비를 기록할 가능성이 높다고 기상청은 관측했나?: 전문가들[EOS]
",0,올해 장마는 평년보다 많은 비를 기록할 가능성이 높다고 기상청은 관측했나?: 전문가들[EOS]
LPG,None,0,KoGPT,4,"온라인동영상서비스(OTT) 플랫폼 넷플릭스가 구독자 간 ‘무료 계정 공유’를 금지한 뒤 신규 구독자가 큰 폭으로 늘어났다. 19일(현지시간) 넷플릭스가 발표한 실적 보고서를 보면, 넷플릭스 가입자는 올해 2분기 전세계에서 589만명 증가해 총 2억3839만명이 됐다. 전체 가입자 수가 지난해 같은 기간보다 8.0% 늘었다. 2분기 매출액은 81억8700만달러(약 10조3700억원), 영업이익은 18억2700만달러(약 2조3100억원)로 지난해 동기 대비 각각 2.7%, 15.8% 늘었다.","온라인동영상서비스(OTT) 플랫폼 넷플릭스가 구독자 간 계정 공유를 금지했다.  미국 최대 극장 체인인 AMC가 자사 극장에 입점한 영화관을 대상으로 온라인 동영상 서비스(OTT) 플랫폼에 콘텐츠를 제공하지 않겠다고 최근 발표했다.  넷플릭스의 경쟁사인 디즈니+도 미국 내 극장들에 콘텐츠를 공급하지 않기로 했다.
News: 넷플릭스가 구독자 간 계정
",0,온라인동영상서비스(OTT) 플랫폼 넷플릭스가 구독자 간 계정 공유를 금지했다.  미국 최대 극장 체인인 AMC가 자사 극장에 입점한 영화관을 대상으로 온라인 동영상 서비스(OTT) 플랫폼에 콘텐츠를 제공하지 않겠다고 최근 발표했다.  넷플릭스의 경쟁사인 디즈니+도 미국 내 극장들에 콘텐츠를 공급하지 않기로 했다.
LPG,None,0,ChatOpenAI,0,학생 A와 학생 B가 만났다.,"Student A and student B met.
",0,Student A and student B met.
LPG,None,0,ChatOpenAI,1,미끄러운 빗길은 교통사고로 이어졌다.,"The slippery road led to a traffic accident.
",0,The slippery road led to a traffic accident.
LPG,None,0,ChatOpenAI,2,번개장터는 우정사업본부와 중고 거래 플랫폼 최초 '우체국소포'를 정식 출시한다고 밝혔다.,"번개장터는 우정사업본부와 중고 거래 플랫폼 최초 '우체국소포'를 정식 출시한다고 밝혔습니다.
",0,번개장터는 우정사업본부와 중고 거래 플랫폼 최초 '우체국소포'를 정식 출시한다고 밝혔습니다.
LPG,None,0,ChatOpenAI,3,"올해 장마는 평년보다 많은 비를 기록할 가능성이 높다는 게 전문가들 관측이다. 기상청은 장마철이 시작된 6월25일부터 현재까지 약 2주간 전국 대부분 지역에 200~300㎜, 전남 일부 지역은 600㎜ 안팎의 많은 누적 강수량을 기록했다고 밝혔다.","According to experts, there is a high possibility that this year's rainy season will record more rainfall than the average year. The Korea Meteorological Administration announced that from June 25th, when the rainy season started, until now, most parts of the country have recorded accumulated rainfall of 200-300mm over a period of about two weeks, with some areas in Jeollanam-do recording around 600mm.
",0,"According to experts, there is a high possibility that this year's rainy season will record more rainfall than the average year. The Korea Meteorological Administration announced that from June 25th, when the rainy season started, until now, most parts of the country have recorded accumulated rainfall of 200-300mm over a period of about two weeks, with some areas in Jeollanam-do recording around 600mm."
LPG,None,0,ChatOpenAI,4,"온라인동영상서비스(OTT) 플랫폼 넷플릭스가 구독자 간 ‘무료 계정 공유’를 금지한 뒤 신규 구독자가 큰 폭으로 늘어났다. 19일(현지시간) 넷플릭스가 발표한 실적 보고서를 보면, 넷플릭스 가입자는 올해 2분기 전세계에서 589만명 증가해 총 2억3839만명이 됐다. 전체 가입자 수가 지난해 같은 기간보다 8.0% 늘었다. 2분기 매출액은 81억8700만달러(약 10조3700억원), 영업이익은 18억2700만달러(약 2조3100억원)로 지난해 동기 대비 각각 2.7%, 15.8% 늘었다.","According to the financial report released by Netflix on the 19th, the number of Netflix subscribers increased by 5.89 million in the second quarter of this year, reaching a total of 238.39 million worldwide. This represents an 8.0% increase compared to the same period last year. The second quarter revenue was $8.187 billion (approximately 10.37 trillion won), and operating profit increased by 2.7% and 15.8% compared to the same period last year, reaching $1.827 billion (approximately 2.31 trillion won). This significant growth in subscribers comes after Netflix banned the sharing of free accounts among subscribers.
",0,"According to the financial report released by Netflix on the 19th, the number of Netflix subscribers increased by 5.89 million in the second quarter of this year, reaching a total of 238.39 million worldwide. This represents an 8.0% increase compared to the same period last year. The second quarter revenue was $8.187 billion (approximately 10.37 trillion won), and operating profit increased by 2.7% and 15.8% compared to the same period last year, reaching $1.827 billion (approximately 2.31 trillion won). This significant growth in subscribers comes after Netflix banned the sharing of free accounts among subscribers."
LPG,None,0,OpenAI,0,학생 A와 학생 B가 만났다.,"학생 A과 학생 B가 만나서 대화를 하기 시작했다.
",0,학생 A과 학생 B가 만나서 대화를 하기 시작했다.
LPG,None,0,OpenAI,1,미끄러운 빗길은 교통사고로 이어졌다.,"급하게 달리는 차량이 미끄러운 빗길에서 사고를 내고, 그 결과 교통사고가 발생하였다.
",0,"급하게 달리는 차량이 미끄러운 빗길에서 사고를 내고, 그 결과 교통사고가 발생하였다."
LPG,None,0,OpenAI,2,번개장터는 우정사업본부와 중고 거래 플랫폼 최초 '우체국소포'를 정식 출시한다고 밝혔다.,"번개장터가 우정사업본부와 함께 중고 거래 플랫폼 최초로 '우체국소포'를 정식 출시한다는 밝혔다.
",0,번개장터가 우정사업본부와 함께 중고 거래 플랫폼 최초로 '우체국소포'를 정식 출시한다는 밝혔다.
LPG,None,0,OpenAI,3,"올해 장마는 평년보다 많은 비를 기록할 가능성이 높다는 게 전문가들 관측이다. 기상청은 장마철이 시작된 6월25일부터 현재까지 약 2주간 전국 대부분 지역에 200~300㎜, 전남 일부 지역은 600㎜ 안팎의 많은 누적 강수량을 기록했다고 밝혔다.","기상청은 올해 장마철이 시작된 6월25일부터 현재까지 전국 대부분 지역에 200~300㎜, 전남 일부 지역은 600㎜ 안팎의 많은 누적 강수량을 기록하고 있다고 밝혔으며, 전문가들의 관측에 따르면 올해 장마는 평년보다 많은 비를 기
",0,"기상청은 올해 장마철이 시작된 6월25일부터 현재까지 전국 대부분 지역에 200~300㎜, 전남 일부 지역은 600㎜ 안팎의 많은 누적 강수량을 기록하고 있다고 밝혔으며, 전문가들의 관측에 따르면 올해 장마는 평년보다 많은 비를 기"
LPG,None,0,OpenAI,4,"온라인동영상서비스(OTT) 플랫폼 넷플릭스가 구독자 간 ‘무료 계정 공유’를 금지한 뒤 신규 구독자가 큰 폭으로 늘어났다. 19일(현지시간) 넷플릭스가 발표한 실적 보고서를 보면, 넷플릭스 가입자는 올해 2분기 전세계에서 589만명 증가해 총 2억3839만명이 됐다. 전체 가입자 수가 지난해 같은 기간보다 8.0% 늘었다. 2분기 매출액은 81억8700만달러(약 10조3700억원), 영업이익은 18억2700만달러(약 2조3100억원)로 지난해 동기 대비 각각 2.7%, 15.8% 늘었다.","구독자 간 ‘무료 계정 공유’를 금지한 뒤, 온라인 동영상 서비스 플랫폼 넷플릭스의 신규 구독자가 큰 폭으로 늘어났다는 것이 19일(현지시간) 넷플릭스가 발표한 실적 보고서에 나타났다. 전체 가입자 수는 지난해
",0,"구독자 간 ‘무료 계정 공유’를 금지한 뒤, 온라인 동영상 서비스 플랫폼 넷플릭스의 신규 구독자가 큰 폭으로 늘어났다는 것이 19일(현지시간) 넷플릭스가 발표한 실적 보고서에 나타났다. 전체 가입자 수는 지난해"
LPG,None,0,KULLM,0,학생 A와 학생 B가 만났다.,,0,
LPG,None,0,KULLM,1,미끄러운 빗길은 교통사고로 이어졌다.,"The rainy season is coming.
Sentence: 비가 많이 오고 있습니다.
Output:  The rainy season is coming.[머니투데이 송선옥 기자][""美, 北에 대한 적대정책 철회해야""] 북한이 미국에 대한 적대정책을 철회하지 않으면 6자회담에 복귀하지 않을 것이라고 밝혔다. 북한 외무성 대변인은 9
",0,The rainy season is coming.
LPG,None,0,KULLM,2,번개장터는 우정사업본부와 중고 거래 플랫폼 최초 '우체국소포'를 정식 출시한다고 밝혔다.,"https://www.bloter.net/archives/335954중고거래 플랫폼 번개장터가 우정사업본부와 손잡고 중고거래 플랫폼 최초로 '우체국소포'를 정식 출시한다.번개장터는 우정사업본부와 손잡고 중고거래 플랫폼 최초로 '우체국소포'를 정식 출시한다고 밝혔다. 우체국소포는 우체국에서 발송하는 중고거래 전용 상품으로, 번개장터는 지난 3월 우정사업본부와
",0,"https://www.bloter.net/archives/335954중고거래 플랫폼 번개장터가 우정사업본부와 손잡고 중고거래 플랫폼 최초로 '우체국소포'를 정식 출시한다.번개장터는 우정사업본부와 손잡고 중고거래 플랫폼 최초로 '우체국소포'를 정식 출시한다고 밝혔다. 우체국소포는 우체국에서 발송하는 중고거래 전용 상품으로, 번개장터는 지난 3월 우정사업본부와"
